,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
facio,55,4.486133768352365,corpvs,27,2.259414225941423,video,42,3.7037037037037033,venio,41,3.454085930918281,rex,50,4.2517006802721085,rex,94,6.9578090303478906,habeo,30,2.631578947368421,ecclesia,21,1.8197573656845754,ecclesia,38,3.1719532554257093,monasterivm,111,8.51880276285495
dico/2,31,2.528548123980424,christvs/n,25,2.092050209205021,corpvs,41,3.6155202821869485,episcopvs,37,3.1171019376579614,episcopvs,43,3.6564625850340136,svvs,41,3.0347890451517396,gens,26,2.280701754385965,christvs/n,18,1.559792027729636,facio,35,2.921535893155259,provincia,34,2.609363008442057
respondeo,20,1.631321370309951,devs,22,1.8410041841004186,qvasi/1,23,2.0282186948853616,qvidam,30,2.527379949452401,annvs,31,2.6360544217687076,regnvm,29,2.146558105107328,vsqve,23,2.017543859649123,opvs/1,18,1.559792027729636,dominvs,30,2.5041736227045077,dico/2,27,2.072141212586339
loqvor,19,1.5497553017944536,virtvs,21,1.7573221757322177,spiritvs,21,1.8518518518518516,ecclesia,29,2.443133951137321,britannia/n,29,2.465986394557823,fides/2,28,2.072538860103627,locvs,20,1.7543859649122806,provincia,17,1.4731369150779896,qvia,24,2.003338898163606,accipio,20,1.5349194167306215
verbvm,17,1.3866231647634584,qvia,20,1.6736401673640167,cvmqve,19,1.6754850088183422,dico/2,28,2.358887952822241,venio,27,2.295918367346939,omnis,26,1.924500370096225,mvltvs,20,1.7543859649122806,fides/2,17,1.4731369150779896,seqvor,24,2.003338898163606,avdio,19,1.4581734458940905
habeo,17,1.3866231647634584,refero,18,1.506276150627615,qvia,17,1.4991181657848323,qvia,25,2.1061499578770007,roma/n,26,2.2108843537414966,edwin/n2,25,1.8504811250925242,insvla,19,1.6666666666666667,gens,16,1.386481802426343,celebro,24,2.003338898163606,mors,19,1.4581734458940905
vnde/1,17,1.3866231647634584,dominvs,18,1.506276150627615,dies,17,1.4991181657848323,tantvs,19,1.6006739679865205,svpra/2,20,1.7006802721088436,angli/n,20,1.4803849000740192,britannia/n,18,1.5789473684210527,beatvs,16,1.386481802426343,christvs/n,20,1.669449081803005,vita,18,1.3814274750575595
avdio,16,1.3050570962479608,monasterivm,17,1.4225941422594142,dvco,16,1.4109347442680775,oratio,19,1.6006739679865205,christvs/n,19,1.6156462585034015,pavlinvs/n1,20,1.4803849000740192,scoti/n,18,1.5789473684210527,omnis,14,1.2131715771230502,credo,20,1.669449081803005,habeo,18,1.3814274750575595
nox,16,1.3050570962479608,annvs,16,1.3389121338912133,ignis,15,1.3227513227513228,dies,16,1.3479359730412805,antistes,17,1.445578231292517,devs,18,1.3323464100666174,britanni/n,15,1.3157894736842104,angli/n,13,1.1265164644714039,habeo,19,1.5859766277128546,angelvs,17,1.3046815042210285
