,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
ecclesia,29,3.2842582106455263,corpvs,77,7.825203252032519,monasterivm,115,10.589318600368323,qvia,35,3.6231884057971016,rex,92,9.533678756476684,facio,30,3.374578177727784,qvia,33,3.433922996878252,rex,57,5.798575788402848,habeo,39,4.441913439635535,episcopvs,57,5.688622754491018
christvs/n,25,2.8312570781426953,video,38,3.861788617886179,christvs/n,26,2.394106813996317,dico/2,25,2.587991718426501,regnvm,35,3.6269430051813467,devs,26,2.924634420697413,facio,24,2.497398543184183,annvs,34,3.458799593082401,gens,29,3.3029612756264237,dico/2,39,3.8922155688622757
fides/2,25,2.8312570781426953,avdio,31,3.1504065040650406,dominvs,22,2.0257826887661143,facio,25,2.587991718426501,fides/2,24,2.4870466321243523,mvltvs,21,2.3622047244094486,venio,21,2.18522372528616,britannia/n,30,3.0518819938962363,locvs,24,2.733485193621868,venio,36,3.592814371257485
provincia,20,2.2650056625141564,homo,26,2.642276422764228,abbatissa,22,2.0257826887661143,celebro,24,2.484472049689441,edwin/n2,24,2.4870466321243523,volo/3,19,2.1372328458942635,coepio,21,2.18522372528616,roma/n,26,2.644964394710071,insvla,21,2.3917995444191344,ecclesia,31,3.093812375249501
angli/n,19,2.1517553793884483,qvasi/1,21,2.1341463414634148,antistes,16,1.4732965009208103,habeo,23,2.380952380952381,pavlinvs/n1,22,2.2797927461139897,respondeo,18,2.0247469066366706,qvidam,17,1.768990634755463,ecclesia,25,2.5432349949135302,britannia/n,20,2.277904328018223,provincia,22,2.19560878243513
omnis,19,2.1517553793884483,mors,19,1.9308943089430894,habeo,16,1.4732965009208103,dominvs,23,2.380952380952381,angli/n,19,1.9689119170984457,omnis,17,1.9122609673790776,inqvio,17,1.768990634755463,episcopvs,21,2.136317395727365,mvltvs,17,1.9362186788154898,oratio,19,1.8962075848303395
svvs,18,2.0385050962627407,qvidam,17,1.7276422764227644,annvs,15,1.3812154696132597,seqvor,23,2.380952380952381,venio,19,1.9689119170984457,video,15,1.687289088863892,refero,16,1.664932362122789,christvs/n,20,2.034587995930824,dies,17,1.9362186788154898,qvoqve,17,1.6966067864271457
sanctvs,16,1.8120045300113252,dico/2,16,1.6260162601626018,video,14,1.289134438305709,ecclesia,20,2.070393374741201,svscipio,16,1.6580310880829014,tvvs,14,1.574803149606299,domvs,16,1.664932362122789,vita,20,2.034587995930824,omnis,15,1.7084282460136675,qvia,15,1.4970059880239521
verbvm,16,1.8120045300113252,dies,16,1.6260162601626018,infirmitas,14,1.289134438305709,devs,18,1.8633540372670807,mvltvs,15,1.5544041450777202,vita,14,1.574803149606299,dvm/2,16,1.664932362122789,regno,19,1.9328585961342828,vsqve,15,1.7084282460136675,redeo/1,15,1.4970059880239521
