,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
ecclesia,24,2.0779220779220777,episcopvs,46,3.6249014972419227,corpvs,29,2.667893284268629,habeo,23,2.2265246853823815,venio,36,2.8938906752411575,mvltvs,28,2.2562449637389204,rex,94,7.526020816653323,monasterivm,107,7.991038088125467,corpvs,43,3.4817813765182186,facio,29,2.392739273927393
fides/2,19,1.645021645021645,rex,45,3.546099290780142,facio,26,2.391904323827047,gens,22,2.1297192642787994,ecclesia,34,2.7331189710610935,qvia,28,2.2562449637389204,svvs,35,2.8022417934347477,dico/2,32,2.389843166542196,video,35,2.834008097165992,qvia,26,2.145214521452145
provincia,18,1.5584415584415585,annvs,36,2.8368794326241136,habeo,20,1.8399264029438822,britannia/n,21,2.032913843175218,dico/2,32,2.572347266881029,facio,26,2.09508460918614,regnvm,34,2.722177742193755,christvs/n,30,2.2404779686333085,avdio,27,2.186234817813765,celebro,26,2.145214521452145
christvs/n,15,1.2987012987012987,britannia/n,28,2.206461780929866,inqvio,18,1.6559337626494939,omnis,20,1.9361084220716358,provincia,24,1.929260450160772,devs,24,1.9339242546333604,fides/2,27,2.1617293835068057,qvidam,24,1.7923823749066468,qvia,22,1.7813765182186234,dominvs,23,1.8976897689768977
virtvs,15,1.2987012987012987,ecclesia,26,2.048857368006304,caelestis,18,1.6559337626494939,insvla,19,1.8393030009680542,oratio,24,1.929260450160772,dico/2,22,1.7727639000805804,edwin/n2,24,1.921537229783827,ergo/2,19,1.4189693801344287,coepio,19,1.5384615384615385,habeo,22,1.8151815181518154
historia,13,1.1255411255411256,roma/n,24,1.8912529550827424,qvia,16,1.4719411223551058,scoti/n,18,1.7424975798644726,episcopvs,20,1.607717041800643,omnis,18,1.4504431909750202,gens,21,1.6813450760608486,voco,17,1.2696041822255415,homo,18,1.45748987854251,devs,21,1.7326732673267329
prior,13,1.1255411255411256,venio,21,1.6548463356973995,abbatissa,14,1.2879484820607177,dies,16,1.5488867376573088,monasterivm,18,1.4469453376205788,manvs/1,14,1.1281224818694602,provincia,21,1.6813450760608486,devs,16,1.194921583271098,spiritvs,17,1.376518218623482,christvs/n,20,1.65016501650165
beatvs,13,1.1255411255411256,vita,17,1.3396375098502757,qvasi/1,13,1.1959521619135236,praedico/3,16,1.5488867376573088,vsqve,15,1.2057877813504823,svvs,13,1.04754230459307,mitto,21,1.6813450760608486,mater,15,1.1202389843166543,verbvm,16,1.2955465587044535,doceo,18,1.4851485148514851
noster,12,1.0389610389610389,antistes,17,1.3396375098502757,dolor,13,1.1959521619135236,mvltvs,14,1.3552758954501452,terra,14,1.1254019292604502,verbvm,12,0.9669621273166802,angli/n,19,1.521216973578863,provincia,14,1.0455563853622107,qvidam,16,1.2955465587044535,ecclesia,18,1.4851485148514851
