,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
dico/2,49,3.760552570990023,mvltvs,39,2.9545454545454546,facio,41,3.2747603833865817,gens,34,3.1984948259642523,episcopvs,53,4.223107569721115,qvia,37,3.300624442462088,video,38,3.109656301145663,monasterivm,78,6.3209076175040515,rex,96,8.226221079691516,ecclesia,28,2.484472049689441
ecclesia,40,3.069838833461243,omnis,34,2.5757575757575757,ecclesia,35,2.7955271565495208,habeo,34,3.1984948259642523,rex,41,3.266932270916335,corpvs,24,2.140945584299732,corpvs,37,3.027823240589198,christvs/n,34,2.755267423014587,regnvm,25,2.1422450728363325,noster,20,1.774622892635315
venio,38,2.916346891788181,devs,26,1.9696969696969695,dico/2,28,2.2364217252396164,locvs,23,2.1636876763875823,venio,34,2.7091633466135456,facio,24,2.140945584299732,qvasi/1,25,2.0458265139116203,dominvs,27,2.188006482982172,fides/2,23,1.970865467009426,fides/2,19,1.6858917480035491
episcopvs,33,2.532617037605526,video,23,1.7424242424242427,qvia,27,2.156549520766773,vsqve,21,1.975540921919097,britannia/n,29,2.3107569721115535,dvm/2,18,1.6057091882247994,dies,20,1.6366612111292964,provincia,21,1.7017828200972445,mitto,22,1.8851756640959727,christvs/n,18,1.5971606033717833
oratio,30,2.3023791250959325,dico/2,22,1.6666666666666667,dominvs,26,2.07667731629393,britannia/n,19,1.7873941674506115,monasterivm,27,2.1513944223107573,habeo,16,1.4272970561998217,homo,20,1.6366612111292964,svscipio,20,1.6207455429497568,svvs,21,1.7994858611825193,provincia,17,1.5084294587400178
monasterivm,28,2.1488871834228704,facio,22,1.6666666666666667,seqvor,24,1.9169329073482428,insvla,18,1.6933207902163687,roma/n,26,2.0717131474103585,coepio,16,1.4272970561998217,spiritvs,20,1.6366612111292964,infirmitas,16,1.2965964343598055,annvs,21,1.7994858611825193,verbvm,16,1.419698314108252
qvidam,26,1.9953952417498082,tantvs,20,1.5151515151515151,habeo,19,1.5175718849840254,mvltvs,17,1.5992474129821261,annvs,26,2.0717131474103585,vnde/1,15,1.3380909901873328,avdio,19,1.5548281505728314,corpvs,16,1.2965964343598055,provincia,20,1.7137960582690661,angli/n,13,1.1535048802129548
habeo,21,1.6116653875671527,qvia,19,1.4393939393939394,celebro,19,1.5175718849840254,scoti/n,17,1.5992474129821261,antistes,25,1.9920318725099602,dolor,15,1.3380909901873328,dico/2,16,1.309328968903437,ergo/2,16,1.2965964343598055,edwin/n2,20,1.7137960582690661,beatvs,13,1.1535048802129548
virtvs,17,1.3046815042210285,rex,16,1.2121212121212122,ago,18,1.4376996805111821,omnis,15,1.4111006585136407,christvs/n,22,1.7529880478087652,caelestis,14,1.2488849241748439,qvidam,16,1.309328968903437,abbatissa,15,1.2155591572123177,pavlinvs/n1,20,1.7137960582690661,opvs/1,13,1.1535048802129548
