,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
episcopvs,82,5.878136200716845,venio,40,3.4071550255536627,christvs/n,27,2.461257976298997,rex,118,9.154383242823895,habeo,31,3.384279475982533,monasterivm,111,9.039087947882736,facio,41,3.346938775510204,qvia,40,3.5555555555555554,corpvs,82,5.84045584045584,facio,36,2.972749793559042
ecclesia,43,3.0824372759856633,dico/2,34,2.8960817717206133,ecclesia,25,2.2789425706472195,regnvm,40,3.1031807602792862,gens,25,2.7292576419213974,christvs/n,40,3.257328990228013,dico/2,34,2.7755102040816326,caelestis,28,2.488888888888889,video,36,2.564102564102564,devs,29,2.3947151114781176
rex,39,2.795698924731183,avdio,31,2.6405451448040886,gens,21,1.9143117593436645,svvs,35,2.7152831652443754,britannia/n,21,2.292576419213974,provincia,39,3.175895765472313,dominvs,30,2.4489795918367347,habeo,26,2.311111111111111,dies,32,2.2792022792022792,omnis,26,2.1469859620148637
annvs,38,2.7240143369175627,video,26,2.2146507666098807,verbvm,20,1.8231540565177755,fides/2,30,2.3273855702094646,insvla,18,1.9650655021834063,dico/2,27,2.198697068403909,seqvor,26,2.122448979591837,facio,22,1.9555555555555555,dvm/2,24,1.7094017094017095,mvltvs,26,2.1469859620148637
venio,36,2.5806451612903225,verbvm,25,2.1294718909710393,historia,17,1.5496809480401095,provincia,27,2.094647013188518,scoti/n,18,1.9650655021834063,devs,26,2.1172638436482085,celebro,26,2.122448979591837,inqvio,21,1.866666666666667,qvasi/1,21,1.4957264957264957,qvia,24,1.981833195706028
roma/n,30,2.1505376344086025,pervenio,24,2.0442930153321974,fides/2,17,1.5496809480401095,edwin/n2,24,1.8619084561675718,britanni/n,17,1.8558951965065504,qvoqve,26,2.1172638436482085,vnde/1,21,1.7142857142857144,terra,19,1.6888888888888887,homo,21,1.4957264957264957,vervs,17,1.4037985136251032
britannia/n,30,2.1505376344086025,tantvs,24,2.0442930153321974,beatvs,16,1.4585232452142205,gens,21,1.6291698991466252,mvltvs,16,1.7467248908296942,dominvs,22,1.7915309446254073,qvia,20,1.6326530612244898,qvidam,18,1.6,infirmitas,20,1.4245014245014245,angli/n,16,1.3212221304706853
ordino,25,1.7921146953405016,qvidam,19,1.6183986371379897,noster,15,1.367365542388332,mitto,21,1.6291698991466252,picti/n,15,1.6375545851528384,svscipio,20,1.6286644951140066,dies,20,1.6326530612244898,vsqve,17,1.511111111111111,tantvs,19,1.3532763532763532,noster,16,1.3212221304706853
antistes,21,1.5053763440860215,cvmqve,19,1.6183986371379897,provincia,15,1.367365542388332,pavlinvs/n1,20,1.5515903801396431,soleo,14,1.5283842794759825,abbatissa,17,1.3843648208469055,dominicvs,19,1.5510204081632653,nox,17,1.511111111111111,angelvs,19,1.3532763532763532,do,16,1.3212221304706853
