,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
corpvs,50,3.7993920972644375,episcopvs,60,4.402054292002934,video,36,3.2490974729241873,monasterivm,91,7.520661157024794,rex,74,6.075533661740558,habeo,33,2.9177718832891246,christvs/n,24,2.283539486203616,dico/2,38,3.0327214684756583,facio,43,3.625632377740304,rex,34,2.768729641693811
dies,28,2.127659574468085,rex,40,2.93470286133529,corpvs,31,2.7978339350180503,christvs/n,39,3.2231404958677685,regnvm,25,2.052545155993432,gens,26,2.2988505747126435,ecclesia,22,2.093244529019981,venio,35,2.793296089385475,episcopvs,27,2.2765598650927488,omnis,29,2.3615635179153096
facio,28,2.127659574468085,venio,35,2.5678650036683783,spiritvs,21,1.895306859205776,devs,22,1.8181818181818181,baptizo,22,1.8062397372742198,insvla,20,1.7683465959328029,fides/2,18,1.7126546146527115,terra,25,1.9952114924181963,habeo,27,2.2765598650927488,mvltvs,23,1.8729641693811077
avdio,27,2.0516717325227964,ecclesia,32,2.347762289068232,ergo/2,19,1.7148014440433215,video,19,1.5702479338842976,ecclesia,21,1.7241379310344827,mvltvs,20,1.7683465959328029,noster,17,1.6175071360608944,nox,22,1.7557861133280128,dico/2,25,2.1079258010118047,facio,22,1.7915309446254073
dvm/2,21,1.5957446808510638,britannia/n,32,2.347762289068232,qvidam,18,1.6245487364620936,mater,16,1.322314049586777,edwin/n2,20,1.6420361247947455,qvia,20,1.7683465959328029,provincia,16,1.5223596574690772,caelestis,21,1.675977653631285,seqvor,25,2.1079258010118047,svvs,19,1.5472312703583062
qvasi/1,21,1.5957446808510638,roma/n,24,1.760821716801174,homo,17,1.5342960288808665,abbatissa,15,1.2396694214876034,gens,19,1.5599343185550083,dico/2,17,1.5030946065428823,omnis,15,1.4272121788772598,qvia,20,1.596169193934557,devs,24,2.0236087689713322,ago,18,1.4657980456026058
angelvs,19,1.4437689969604863,annvs,24,1.760821716801174,avdio,16,1.444043321299639,infirmitas,14,1.1570247933884297,fides/2,19,1.5599343185550083,britannia/n,16,1.414677276746242,historia,14,1.3320647002854424,coepio,19,1.5163607342378291,ecclesia,21,1.770657672849916,tvvs,16,1.3029315960912053
dominvs,18,1.3677811550151975,provincia,22,1.6140865737344092,verbvm,13,1.1732851985559567,dominvs,14,1.1570247933884297,annvs,19,1.5599343185550083,praedico/3,16,1.414677276746242,gens,13,1.236917221693625,vsqve,17,1.3567438148443736,vnde/1,20,1.6863406408094435,vervs,15,1.221498371335505
habeo,17,1.2917933130699089,ibi,21,1.540719002201027,monasterivm,12,1.083032490974729,memoria,13,1.0743801652892562,svvs,17,1.3957307060755337,vsqve,15,1.3262599469496021,alivs,13,1.236917221693625,qvidam,17,1.3567438148443736,celebro,20,1.6863406408094435,devs,15,1.221498371335505
virtvs,17,1.2917933130699089,monasterivm,20,1.467351430667645,ignis,12,1.083032490974729,dico/2,13,1.0743801652892562,facio,15,1.2315270935960592,scoti/n,15,1.3262599469496021,vir,12,1.141769743101808,oratio,16,1.2769353551476457,qvia,17,1.433389544688027,qvia,15,1.221498371335505
qvia,16,1.21580547112462,ordino,20,1.467351430667645,coepio,12,1.083032490974729,accipio,13,1.0743801652892562,pavlinvs/n1,15,1.2315270935960592,svvs,14,1.237842617152962,beatvs,12,1.141769743101808,loqvor,16,1.2769353551476457,dominvs,17,1.433389544688027,ergo/2,15,1.221498371335505
cvro,15,1.1398176291793314,antistes,16,1.173881144534116,qvasi/1,12,1.083032490974729,doceo,12,0.9917355371900827,nomen,14,1.1494252873563218,picti/n,14,1.237842617152962,angli/n,11,1.0466222645099905,manvs/1,16,1.2769353551476457,inqvio,16,1.3490725126475547,promitto,14,1.1400651465798046
provincia,15,1.1398176291793314,mitto,16,1.173881144534116,dico/2,11,0.9927797833935018,svscipio,12,0.9917355371900827,filivs,14,1.1494252873563218,omnis,13,1.1494252873563218,verbvm,10,0.9514747859181731,monasterivm,14,1.1173184357541899,ivbeo,14,1.1804384485666104,verbvm,13,1.0586319218241043
dico/2,15,1.1398176291793314,svpra/2,15,1.1005135730007336,vita,11,0.9927797833935018,avdio,11,0.9090909090909091,christvs/n,13,1.0673234811165846,soleo,13,1.1494252873563218,disco,9,0.8563273073263558,ecclesia,12,0.9577015163607342,doceo,13,1.0961214165261384,venio,13,1.0586319218241043
qvidam,15,1.1398176291793314,revereor,14,1.0271460014673515,mors,11,0.9927797833935018,qvoqve,11,0.9090909090909091,provincia,13,1.0673234811165846,civitas,12,1.0610079575596816,pontifex,9,0.8563273073263558,pvlvis,12,0.9577015163607342,dominicvs,13,1.0961214165261384,vita,12,0.9771986970684038
tantvs,15,1.1398176291793314,vita,14,1.0271460014673515,statim,11,0.9927797833935018,salvs,11,0.9090909090909091,christianvs/2,13,1.0673234811165846,dies,12,1.0610079575596816,prior,8,0.7611798287345386,habeo,11,0.8778930566640064,vervs,12,1.0118043844856661,dico/2,11,0.8957654723127036
