,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
rex,103,6.776315789473684,#n/a,2439,70.8393842579146,#n/a,1442,56.92854322937229,#n/a,1257,48.53281853281853,facio,43,2.945205479452055,#n/a,1993,65.45155993431855,#n/a,1586,56.481481481481474,britannia/n,26,2.323503127792672,#n/a,1580,56.34807417974322,ecclesia,33,2.740863787375415
regnvm,37,2.4342105263157894,tempvs/1,36,1.0455997676444961,qvidam,20,0.7895775759968418,episcopvs,62,2.393822393822394,qvia,36,2.4657534246575343,facio,28,0.9195402298850575,video,36,1.282051282051282,habeo,23,2.0554066130473636,monasterivm,81,2.8887303851640516,gens,20,1.6611295681063125
fides/2,34,2.236842105263158,rex,35,1.0165553296543712,venio,19,0.7500986971969996,venio,39,1.505791505791506,dico/2,32,2.191780821917808,ecclesia,24,0.7881773399014778,avdio,32,1.1396011396011396,omnis,22,1.966041108132261,corpvs,36,1.2838801711840229,noster,18,1.495016611295681
svvs,30,1.9736842105263157,britannia/n,22,0.6389776357827476,caelestis,16,0.6316620607974733,monasterivm,33,1.2741312741312742,mvltvs,31,2.1232876712328768,qvia,24,0.7881773399014778,dico/2,29,1.0327635327635327,vsqve,20,1.7873100983020553,christvs/n,28,0.9985734664764622,christvs/n,17,1.4119601328903655
tempvs/1,24,1.5789473684210527,annvs,22,0.6389776357827476,soleo,14,0.5527043031977892,dico/2,29,1.1196911196911197,devs,23,1.5753424657534247,habeo,21,0.6896551724137931,corpvs,27,0.9615384615384616,insvla,19,1.6979445933869526,infirmitas,20,0.7132667617689016,provincia,16,1.3289036544850499
edwin/n2,24,1.5789473684210527,christvs/n,18,0.5227998838222481,qvasi/1,14,0.5527043031977892,oratio,24,0.9266409266409266,omnis,23,1.5753424657534247,celebro,21,0.6896551724137931,qvidam,25,0.8903133903133903,mvltvs,17,1.519213583556747,abbatissa,20,0.7132667617689016,fides/2,16,1.3289036544850499
gens,22,1.4473684210526316,roma/n,18,0.5227998838222481,nox,13,0.5132254243979472,verbvm,23,0.8880308880308879,habeo,20,1.36986301369863,dico/2,18,0.5911330049261084,tempvs/1,20,0.7122507122507122,scoti/n,17,1.519213583556747,video,19,0.6776034236804565,vervs,14,1.1627906976744187
provincia,21,1.381578947368421,devs,15,0.43566656985187335,ecclesia,12,0.47374654559810503,habeo,23,0.8880308880308879,video,15,1.0273972602739725,inqvio,18,0.5911330049261084,dvco,20,0.7122507122507122,gens,16,1.4298480786416443,dominvs,17,0.6062767475035664,corpvs,14,1.1627906976744187
venio,21,1.381578947368421,antistes,15,0.43566656985187335,terra,12,0.47374654559810503,dominvs,23,0.8880308880308879,tvvs,14,0.9589041095890412,tempvs/1,17,0.5582922824302134,pervenio,19,0.6766381766381766,angli/n,15,1.3404825737265416,qvasi/1,17,0.6062767475035664,alivs,13,1.0797342192691028
pavlinvs/n1,21,1.381578947368421,monasterivm,14,0.4066221318617485,coepio,12,0.47374654559810503,ecclesia,22,0.8494208494208495,ergo/2,14,0.9589041095890412,ago,17,0.5582922824302134,homo,19,0.6766381766381766,picti/n,15,1.3404825737265416,mors,17,0.6062767475035664,historia,12,0.9966777408637874
mitto,19,1.25,mvltvs,14,0.4066221318617485,cvmqve,12,0.47374654559810503,tempvs/1,17,0.6563706563706564,ago,13,0.8904109589041096,dominvs,17,0.5582922824302134,angelvs,18,0.641025641025641,pars,14,1.2511170688114388,refero,16,0.5706134094151213,tempvs/1,12,0.9966777408637874
svscipio,18,1.1842105263157896,regno,13,0.3775776938716236,spiritvs,12,0.47374654559810503,revereor,15,0.5791505791505791,debeo,13,0.8904109589041096,doceo,15,0.49261083743842365,qvia,16,0.5698005698005698,voco,14,1.2511170688114388,provincia,15,0.5349500713266762,angli/n,11,0.9136212624584719
angli/n,17,1.118421052631579,qvoqve,11,0.3194888178913738,tempvs/1,11,0.43426766679826295,ibi,15,0.5791505791505791,accipio,12,0.821917808219178,seqvor,15,0.49261083743842365,sicvt/1,14,0.49857549857549854,dies,14,1.2511170688114388,svscipio,15,0.5349500713266762,verbvm,10,0.8305647840531563
facio,17,1.118421052631579,episcopvs,11,0.3194888178913738,vsqve,10,0.3947887879984209,frater,15,0.5791505791505791,nvnc,11,0.7534246575342466,dies,13,0.4269293924466338,vivo,14,0.49857549857549854,videlicet,13,1.161751563896336,ecclesia,13,0.46362339514978607,beatvs,10,0.8305647840531563
annvs,17,1.118421052631579,semper,11,0.3194888178913738,habeo,10,0.3947887879984209,redeo/1,15,0.5791505791505791,avdio,11,0.7534246575342466,venio,12,0.3940886699507389,ignis,13,0.4629629629629629,svvs,13,1.161751563896336,salvs,12,0.42796005706134094,gratia,10,0.8305647840531563
vir,16,1.0526315789473684,dies,10,0.2904443799012489,cvro,9,0.35530990919857874,provincia,14,0.5405405405405406,vervs,11,0.7534246575342466,vnde/1,12,0.3940886699507389,tantvs,13,0.4629629629629629,locvs,13,1.161751563896336,tantvs,12,0.42796005706134094,avdio,9,0.7475083056478405
ivxta/1,14,0.9210526315789472,historia,9,0.26139994191112403,vnde/1,9,0.35530990919857874,do,14,0.5405405405405406,salvs,11,0.7534246575342466,devs,11,0.361247947454844,facio,12,0.4273504273504274,qvidam,13,1.161751563896336,dvm/2,12,0.42796005706134094,sanctvs,9,0.7475083056478405
christvs/n,13,0.855263157894737,terra,9,0.26139994191112403,lingva,9,0.35530990919857874,voco,13,0.5019305019305019,advenio,11,0.7534246575342466,vsqve,11,0.361247947454844,spiritvs,12,0.4273504273504274,tempvs/1,12,1.0723860589812333,annvs,12,0.42796005706134094,scribo,9,0.7475083056478405
doceo,13,0.855263157894737,mitto,9,0.26139994191112403,facio,9,0.35530990919857874,cavsa,12,0.4633204633204633,dominvs,11,0.7534246575342466,ivbeo,11,0.361247947454844,monasterivm,11,0.39173789173789175,britanni/n,12,1.0723860589812333,mater,12,0.42796005706134094,vsqve,9,0.7475083056478405
filivs,13,0.855263157894737,svpra/2,9,0.26139994191112403,intro/1,9,0.35530990919857874,ordino,11,0.42471042471042475,crvx,11,0.7534246575342466,rex,10,0.3284072249589491,dies,11,0.39173789173789175,peto,12,1.0723860589812333,coepio,11,0.39229671897289586,opvs/1,9,0.7475083056478405
verbvm,12,0.7894736842105263,gens,8,0.23235550392099913,domvs,9,0.35530990919857874,seqvor,11,0.42471042471042475,doctrina,11,0.7534246575342466,christvs/n,10,0.3284072249589491,qvoqve,10,0.3561253561253561,qvoqve,11,0.9830205540661305,devs,10,0.3566333808844508,ecclesiasticvs,8,0.6644518272425249
