,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,Topic11,,,Topic12,,,Topic13,,,Topic14,,,Topic15,,,Topic16,,,Topic17,,,Topic18,,,Topic19,,,Topic20,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
corpvs,20,3.64963503649635,rex,29,4.957264957264957,qvia,11,1.896551724137931,devs,22,4.112149532710281,provincia,15,2.793296089385475,celebro,22,3.0136986301369864,britannia/n,20,3.1446540880503147,dico/2,27,4.623287671232877,praedico/3,25,4.378283712784588,facio,26,4.459691252144083,ecclesia,31,4.897314375987362,episcopvs,39,6.180665610142631,monasterivm,34,5.582922824302135,rex,35,5.852842809364549,monasterivm,55,8.221225710014949,facio,17,2.871621621621622,video,30,5.1020408163265305,corpvs,37,6.491228070175438,habeo,23,3.885135135135135,rex,66,9.523809523809524
angelvs,19,3.4671532846715327,omnis,15,2.564102564102564,habeo,10,1.7241379310344827,qvia,10,1.8691588785046727,historia,13,2.4208566108007448,dominvs,20,2.73972602739726,insvla,17,2.6729559748427674,qvia,22,3.767123287671233,verbvm,22,3.852889667250438,gens,15,2.5728987993138936,episcopvs,26,4.107424960505529,venio,25,3.9619651347068143,christvs/n,16,2.6272577996715927,britannia/n,24,4.013377926421405,dico/2,23,3.43796711509716,habeo,16,2.7027027027027026,tantvs,18,3.061224489795918,facio,16,2.807017543859649,locvs,19,3.209459459459459,provincia,21,3.0303030303030303
avdio,18,3.2846715328467155,devs,12,2.051282051282051,noster,8,1.3793103448275863,christvs/n,9,1.6822429906542056,ecclesia,12,2.2346368715083798,facio,18,2.4657534246575343,scoti/n,15,2.358490566037736,venio,20,3.4246575342465753,mitto,20,3.502626970227671,dico/2,14,2.401372212692967,monasterivm,19,3.0015797788309637,roma/n,20,3.1695721077654517,abbatissa,16,2.6272577996715927,annvs,21,3.511705685618729,provincia,21,3.1390134529147984,inqvio,15,2.5337837837837838,qvidam,17,2.891156462585034,dvm/2,12,2.1052631578947367,omnis,16,2.7027027027027026,regnvm,18,2.5974025974025974
ignis,13,2.3722627737226274,svvs,11,1.8803418803418803,vita,8,1.3793103448275863,antistes,9,1.6822429906542056,fides/2,11,2.0484171322160147,ecclesia,17,2.328767123287671,pars,13,2.044025157232704,domvs,16,2.73972602739726,fides/2,16,2.8021015761821366,svvs,13,2.2298456260720414,dico/2,17,2.6856240126382307,habeo,13,2.0602218700475436,video,12,1.9704433497536946,monasterivm,15,2.508361204013378,mors,19,2.8400597907324365,vnde/1,13,2.195945945945946,qvasi/1,14,2.380952380952381,venio,11,1.9298245614035088,facio,15,2.5337837837837838,edwin/n2,18,2.5974025974025974
qvia,13,2.3722627737226274,tvvs,10,1.7094017094017095,corpvs,8,1.3793103448275863,mvltvs,9,1.6822429906542056,noster,9,1.675977653631285,habeo,15,2.054794520547945,picti/n,13,2.044025157232704,pvlvis,11,1.8835616438356164,ivxta/1,12,2.1015761821366024,angli/n,10,1.7152658662092626,venio,13,2.0537124802527646,svpra/2,13,2.0602218700475436,annvs,12,1.9704433497536946,pars,11,1.839464882943144,christvs/n,12,1.7937219730941705,canto,11,1.8581081081081081,dies,13,2.2108843537414966,dolor,11,1.9298245614035088,ecclesia,13,2.195945945945946,pavlinvs/n1,16,2.3088023088023086
sicvt/1,10,1.824817518248175,facio,10,1.7094017094017095,voco,8,1.3793103448275863,avdio,7,1.3084112149532712,beatvs,9,1.675977653631285,dico/2,14,1.9178082191780823,habeo,12,1.8867924528301887,praecipio,10,1.7123287671232876,christvs/n,11,1.926444833625219,qvia,9,1.5437392795883362,provincia,12,1.8957345971563981,disco,11,1.7432646592709984,virtvs,11,1.8062397372742198,dies,10,1.6722408026755853,infirmitas,11,1.6442451420029895,respondeo,9,1.5202702702702704,corpvs,11,1.870748299319728,dvo,9,1.5789473684210527,fides/2,12,2.027027027027027,filivs,15,2.1645021645021645
cvmqve,9,1.6423357664233578,regnvm,10,1.7094017094017095,caelestis,8,1.3793103448275863,vervs,7,1.3084112149532712,christvs/n,8,1.48975791433892,seqvor,13,1.7808219178082192,mvltvs,11,1.729559748427673,nox,9,1.5410958904109588,devs,10,1.7513134851138354,qvoqve,7,1.2006861063464835,ivxta/1,12,1.8957345971563981,ivbeo,10,1.5847860538827259,mater,11,1.8062397372742198,ordino,10,1.6722408026755853,dominvs,10,1.4947683109118086,verbvm,8,1.3513513513513513,pervenio,10,1.7006802721088436,qvasi/1,9,1.5789473684210527,qvidam,12,2.027027027027027,annvs,14,2.0202020202020203
virtvs,9,1.6423357664233578,gens,9,1.5384615384615385,ecclesia,7,1.206896551724138,venio,7,1.3084112149532712,scribo,8,1.48975791433892,doceo,12,1.643835616438356,gens,10,1.5723270440251573,ibidem,8,1.36986301369863,mvltvs,10,1.7513134851138354,accipio,7,1.2006861063464835,dominvs,12,1.8957345971563981,civitas,9,1.4263074484944533,cvro,9,1.477832512315271,romanvs/a,9,1.5050167224080269,ago,9,1.345291479820628,homo,8,1.3513513513513513,avdio,9,1.530612244897959,ecclesia,8,1.4035087719298245,venio,11,1.8581081081081081,gens,12,1.7316017316017316
facio,8,1.4598540145985401,ago,9,1.5384615384615385,virtvs,7,1.206896551724138,pater,7,1.3084112149532712,svvs,8,1.48975791433892,ago,12,1.643835616438356,vsqve,9,1.4150943396226416,appareo,8,1.36986301369863,angli/n,9,1.5761821366024518,sanctvs,6,1.0291595197255576,oratio,12,1.8957345971563981,rex,8,1.2678288431061806,refero,8,1.3136288998357963,regno,9,1.5050167224080269,ergo/2,9,1.345291479820628,disco,7,1.1824324324324325,coepio,9,1.530612244897959,qvia,8,1.4035087719298245,vsqve,10,1.6891891891891893,venio,11,1.5873015873015872
accipio,8,1.4598540145985401,promitto,9,1.5384615384615385,apostolicvs,7,1.206896551724138,qvidam,7,1.3084112149532712,vsqve,7,1.303538175046555,qvia,11,1.5068493150684932,britanni/n,9,1.4150943396226416,verbvm,7,1.1986301369863013,voco,9,1.5761821366024518,pater,6,1.0291595197255576,tantvs,11,1.7377567140600316,ecclesia,8,1.2678288431061806,qvidam,8,1.3136288998357963,doceo,8,1.3377926421404682,avdio,8,1.195814648729447,dico/2,7,1.1824324324324325,dvco,9,1.530612244897959,dies,8,1.4035087719298245,caelestis,10,1.6891891891891893,baptizo,11,1.5873015873015872
propter/2,8,1.4598540145985401,vita,8,1.3675213675213675,sanctvs,6,1.0344827586206897,gavdeo,7,1.3084112149532712,fidelis/2,7,1.303538175046555,dies,10,1.36986301369863,peto,8,1.257861635220126,invenio,7,1.1986301369863013,accipio,9,1.5761821366024518,ago,6,1.0291595197255576,facio,10,1.579778830963665,ibi,8,1.2678288431061806,nox,8,1.3136288998357963,vsqve,8,1.3377926421404682,verbvm,8,1.195814648729447,ivbeo,7,1.1824324324324325,homo,9,1.530612244897959,ago,7,1.2280701754385965,manvs/1,10,1.6891891891891893,christvs/n,10,1.443001443001443
dico/2,7,1.2773722627737227,salvs,6,1.0256410256410255,liber/1,6,1.0344827586206897,simvl/1,6,1.1214953271028036,nosco,6,1.1173184357541899,vervs,9,1.2328767123287672,rex,7,1.10062893081761,coepio,7,1.1986301369863013,caelestis,9,1.5761821366024518,mvltvs,6,1.0291595197255576,do,9,1.4218009478672986,christvs/n,7,1.109350237717908,ordino,8,1.3136288998357963,christvs/n,7,1.1705685618729096,video,8,1.195814648729447,loqvor,7,1.1824324324324325,adhvc,8,1.3605442176870748,invenio,6,1.0526315789473684,sancio,9,1.5202702702702704,vir,9,1.2987012987012987
pervenio,7,1.2773722627737227,qvondam,6,1.0256410256410255,tantvs,6,1.0344827586206897,frater,6,1.1214953271028036,vir,6,1.1173184357541899,devs,9,1.2328767123287672,qvoqve,7,1.10062893081761,nvnc,6,1.0273972602739725,omnis,8,1.4010507880910683,hora,6,1.0291595197255576,qvoqve,8,1.263823064770932,institvo,7,1.109350237717908,ibi,7,1.1494252873563218,ecclesia,7,1.1705685618729096,certvs,8,1.195814648729447,devs,6,1.0135135135135136,spiritvs,8,1.3605442176870748,affero,6,1.0526315789473684,svvs,9,1.5202702702702704,nomen,9,1.2987012987012987
homo,7,1.2773722627737227,mvltvs,6,1.0256410256410255,annvs,6,1.0344827586206897,coepio,6,1.1214953271028036,cognosco,6,1.1173184357541899,video,9,1.2328767123287672,omnis,7,1.10062893081761,avdio,6,1.0273972602739725,gratia,8,1.4010507880910683,consvetvdo,6,1.0291595197255576,revereor,8,1.263823064770932,qvia,7,1.109350237717908,episcopvs,7,1.1494252873563218,cantvari/n,7,1.1705685618729096,voco,8,1.195814648729447,soleo,6,1.0135135135135136,vsqve,7,1.1904761904761905,vsqve,6,1.0526315789473684,mitto,9,1.5202702702702704,religio,8,1.1544011544011543
constrvo,7,1.2773722627737227,advenio,6,1.0256410256410255,vervs,5,0.8620689655172413,qvoqve,5,0.9345794392523363,salvs,6,1.1173184357541899,vsqve,8,1.095890410958904,saepe,7,1.10062893081761,refero,6,1.0273972602739725,vita,8,1.4010507880910683,via,6,1.0291595197255576,terra,7,1.1058451816745656,dies,7,1.109350237717908,congregatio,7,1.1494252873563218,praesens,6,1.0033444816053512,pver,8,1.195814648729447,adhvc,6,1.0135135135135136,respondeo,7,1.1904761904761905,dico/2,6,1.0526315789473684,qvia,8,1.3513513513513513,filia,8,1.1544011544011543
volo/3,6,1.094890510948905,inqvio,6,1.0256410256410255,cvra,5,0.8620689655172413,reverto,5,0.9345794392523363,disco,6,1.1173184357541899,credo,8,1.095890410958904,nox,7,1.10062893081761,qvidam,6,1.0273972602739725,rex,7,1.2259194395796849,aio,6,1.0291595197255576,virtvs,7,1.1058451816745656,ergo/2,7,1.109350237717908,peto,6,0.9852216748768473,episcopvs,6,1.0033444816053512,noster,7,1.046337817638266,coepio,6,1.0135135135135136,locvs,6,1.0204081632653061,accipio,6,1.0526315789473684,hodie,8,1.3513513513513513,angli/n,7,1.0101010101010102
qvasi/1,6,1.094890510948905,doctrina,6,1.0256410256410255,alivs,5,0.8620689655172413,monasterivm,5,0.9345794392523363,cvro,6,1.1173184357541899,dominicvs,8,1.095890410958904,dies,7,1.10062893081761,dies,6,1.0273972602739725,gens,7,1.2259194395796849,christvs/n,5,0.8576329331046313,siqvis,6,0.9478672985781991,do,7,1.109350237717908,servo,6,0.9852216748768473,vita,6,1.0033444816053512,simvl/1,7,1.046337817638266,debeo,6,1.0135135135135136,aspicio,6,1.0204081632653061,vivo,6,1.0526315789473684,frater,7,1.1824324324324325,ecclesia,7,1.0101010101010102
dvco,6,1.094890510948905,differo,6,1.0256410256410255,opvs/1,5,0.8620689655172413,infirmitas,5,0.9345794392523363,omnis,6,1.1173184357541899,videlicet,7,0.9589041095890412,video,6,0.9433962264150944,oratio,6,1.0273972602739725,ergo/2,7,1.2259194395796849,britanni/n,5,0.8576329331046313,vocabvlvm,6,0.9478672985781991,pontifex,6,0.9508716323296356,seqvor,6,0.9852216748768473,antistes,6,1.0033444816053512,ieivnivm,7,1.046337817638266,nihil,6,1.0135135135135136,cvmqve,6,1.0204081632653061,saecvlvm,6,1.0526315789473684,mvltvs,6,1.0135135135135136,alivs,7,1.0101010101010102
loqvor,6,1.094890510948905,malvs/3,6,1.0256410256410255,mvltvs,5,0.8620689655172413,dies,5,0.9345794392523363,memoria,6,1.1173184357541899,vnde/1,7,0.9589041095890412,videlicet,6,0.9433962264150944,seqvor,6,1.0273972602739725,regnvm,7,1.2259194395796849,fero,5,0.8576329331046313,cvnctvs,6,0.9478672985781991,pervenio,6,0.9508716323296356,svpra/2,6,0.9852216748768473,peto,6,1.0033444816053512,servio,7,1.046337817638266,svscipio,6,1.0135135135135136,narro,6,1.0204081632653061,intro/1,5,0.8771929824561403,nvllvs,6,1.0135135135135136,svscipio,7,1.0101010101010102
verbvm,5,0.9124087591240875,svscipio,6,1.0256410256410255,sicvt/1,5,0.8620689655172413,accipio,5,0.9345794392523363,littera,6,1.1173184357541899,svscipio,7,0.9589041095890412,dico/2,6,0.9433962264150944,vsqve,5,0.8561643835616438,magnvs,6,1.0507880910683012,dominvs,5,0.8576329331046313,saecvlvm,6,0.9478672985781991,vnde/1,6,0.9508716323296356,desidero,5,0.8210180623973727,dono,6,1.0033444816053512,nvper,6,0.8968609865470852,cvro,5,0.8445945945945946,statim,6,1.0204081632653061,christianvs/2,5,0.8771929824561403,ivxta/1,6,1.0135135135135136,habeo,6,0.8658008658008658
contra/2,5,0.9124087591240875,edwin/n2,6,1.0256410256410255,magnvs,5,0.8620689655172413,inqvio,5,0.9345794392523363,angli/n,5,0.931098696461825,sabbatvm,7,0.9589041095890412,mare,6,0.9433962264150944,frater,5,0.8561643835616438,servio,5,0.8756567425569177,praedico/2,5,0.8576329331046313,manvs/1,6,0.9478672985781991,ivxta/1,6,0.9508716323296356,videlicet,5,0.8210180623973727,cvnctvs,6,1.0033444816053512,corpvs,6,0.8968609865470852,video,5,0.8445945945945946,nvnc,5,0.8503401360544218,morior,5,0.8771929824561403,advenio,5,0.8445945945945946,svvs,6,0.8658008658008658
